"","final","sprinkles","bike"
"390","No","No","Yes"
"391","Yes","No","Yes"
"392","No","Yes","No"
"393","No","No","Yes"
"394","No","Yes","Yes"
"395","Yes","Yes","Yes"
"396","No","No","No"
"397","No","Yes","Yes"
"398","No","Yes","Yes"
"399","Yes","No","Yes"
"400","No","Yes","No"
"401","No","No","Yes"
"402","No","No","No"
"403","Yes","Yes","Yes"
"404","No","Yes","Yes"
"405","No","No","Yes"
"406","Yes","Yes","No"
"407","No","Yes","No"
"408","Yes","Yes","Yes"
"409","No","No","No"
"410","No","Yes","Yes"
"411","No","No","Yes"
"412","No","No","No"
"413","No","Yes","No"
"414","No","No","Yes"
"415","Yes","No","Yes"
"416","No","Yes","Yes"
"417","Yes","Yes","Yes"
"418","No","No","Yes"
"419","No","No","No"
"420","No","No","Yes"
"421","No","Yes","Yes"
"422","No","No","Yes"
"423","Yes","No","Yes"
"424","No","No","Yes"
"425","Yes","Yes","No"
"426","Yes","No","Yes"
"427","No","Yes","Yes"
"428","No","No","No"
"429","Yes","No","Yes"
"430","Yes","Yes","Yes"
"431","Yes","Yes","No"
"432","No","Yes","Yes"
"433","No","Yes","Yes"
"434","No","No","No"
"435","Yes","No","No"
"436","Yes","Yes","Yes"
"437","Yes","Yes","Yes"
"438","Yes","No","Yes"
"439","Yes","No","No"
"440","Yes","Yes","Yes"
"441","No","No","Yes"
"442","Yes","No","Yes"
"443","No","Yes","Yes"
"444","No","Yes","No"
"445","No","Yes","Yes"
"446","No","No","No"
"447","Yes","Yes","Yes"
"448","No","No","Yes"
"449","No","Yes","No"
"450","No","Yes","Yes"
"451","No","Yes","Yes"
"452","No","Yes","Yes"
"453","No","No","No"
"454","No","No","Yes"
"455","No","No","No"
"456","No","No","Yes"
"457","Yes","No","Yes"
"458","No","Yes","Yes"
"459","No","Yes","No"
"460","No","No","Yes"
"461","No","Yes","No"
"462","No","No","Yes"
"463","No","No","No"
"464","Yes","Yes","No"
"465","No","No","No"
"466","No","Yes","Yes"
"467","No","No","No"
"468","No","No","Yes"
"469","No","Yes","No"
"470","No","No","Yes"
"471","No","Yes","Yes"
"472","Yes","Yes","Yes"
"473","No","Yes","Yes"
"474","No","Yes","No"
"475","Yes","No","No"
"476","No","No","Yes"
"477","Yes","No","No"
"478","Yes","Yes","Yes"
"479","Yes","Yes","Yes"
"480","No","No","Yes"
"481","No","Yes","Yes"
"482","No","Yes","Yes"
"483","No","Yes","No"
"484","No","Yes","Yes"
"485","No","Yes","Yes"
"486","No","No","No"
"487","Yes","Yes","Yes"
"488","Yes","Yes","Yes"
"489","No","No","Yes"
"490","No","No","No"
"491","No","Yes","No"
"492","No","Yes","Yes"
"493","Yes","Yes","Yes"
"494","Yes","Yes","Yes"
"495","No","Yes","No"
"496","No","No","Yes"
"497","No","No","Yes"
"498","No","Yes","Yes"
"499","Yes","No","No"
"500","Yes","Yes","Yes"
"501","No","No","Yes"
"502","No","No","Yes"
"503","No","No","Yes"
"504","No","No","No"
"505","No","No","Yes"
"506","Yes","No","No"
"507","Yes","No","Yes"
"508","No","No","No"
"509","No","No","No"
"510","No","No","Yes"
"511","No","No","Yes"
"512","No","No","No"
"513","No","No","No"
"514","No","No","No"
"515","No","No","Yes"
"516","No","No","Yes"
"517","No","No","No"
"518","No","No","No"
"519","No","No","Yes"
"520","No","Yes","Yes"
"521","No","Yes","Yes"
"522","No","No","No"
"523","No","No","No"
"524","Yes","No","Yes"
"525","No","No","No"
"526","No","No","No"
"527","Yes","Yes","Yes"
"528","No","Yes","No"
"529","Yes","No","Yes"
"530","Yes","No","No"
"531","No","No","No"
"532","No","No","Yes"
"533","No","No","Yes"
"534","Yes","No","Yes"
"535","No","Yes","No"
"536","No","No","No"
"537","No","Yes","Yes"
"538","Yes","No","Yes"
"539","No","No","No"
"540","No","No","No"
"541","No","Yes","No"
"542","No","No","Yes"
"543","No","No","Yes"
"544","Yes","No","No"
"545","No","No","Yes"
"546","No","Yes","Yes"
"547","No","Yes","No"
"548","No","No","Yes"
"549","Yes","No","No"
"550","Yes","No","Yes"
"551","No","No","No"
"552","No","No","Yes"
"553","Yes","No","No"
"554","Yes","No","Yes"
"555","No","No","No"
"556","No","No","No"
"557","No","No","Yes"
"558","Yes","No","No"
"559","No","No","Yes"
"560","No","No","Yes"
"561","No","No","No"
"562","No","No","Yes"
"563","No","No","No"
"564","No","Yes","No"
"565","No","No","No"
"566","Yes","No","No"
"567","No","Yes","Yes"
"568","No","No","Yes"
"569","Yes","No","No"
"570","No","No","No"
"571","No","No","Yes"
"572","No","No","No"
"573","No","No","No"
"574","No","Yes","Yes"
"575","Yes","No","Yes"
"576","No","No","No"
"577","No","No","Yes"
"578","No","No","No"
"579","No","No","Yes"
"580","Yes","No","No"
"581","No","No","Yes"
"582","No","No","Yes"
"583","No","Yes","Yes"
"584","No","No","No"
"585","Yes","No","No"
"586","No","Yes","No"
"587","No","No","Yes"
"588","No","No","No"
"589","No","No","Yes"
"590","No","No","Yes"
"591","No","No","No"
"592","No","No","No"
"593","Yes","No","Yes"
"594","Yes","No","No"
"595","No","No","Yes"
"596","No","Yes","No"
"597","No","No","Yes"
"598","No","No","No"
